problem,broadcasts_sent
977,4
978,2
979,4
980,3
981,4
982,4
984,3
985,2
986,1
987,4
988,4
989,4
990,5
991,3
992,3
993,2
994,4
995,1
996,4
997,3
998,3
999,3
1000,5
1001,2
1002,5
1003,1
1004,4
1005,4
1006,9
1007,4
